YEAR,MONTH,DOMESTIC,INTERNATIONAL,TOTAL
2018,Jan,9031178,2233160,11264338
2018,Feb,8753570,1957329,10710899
2018,Mar,10422226,2442033,12864259
2018,Apr,9879265,2362254,12241519
2018,May,10356532,2549757,12906289
2018,Jun,10635376,2775993,13411369
2018,Jul,10882459,2938321,13820780
2018,Aug,10584430,2719275,13303705
2018,Sep,9004336,2088901,11093237
2018,Oct,10268808,2219703,12488511
2018,Nov,9888304,2042505,11930809
2018,Dec,9764388,2378953,12143341
2019,Jan,9547545,2322291,11869836
2019,Feb,9234530,2033546,11268076
2019,Mar,10903095,2503166,13406261
2019,Apr,10162370,2385868,12548238
2019,May,11006299,2598872,13605171
2019,Jun,10931036,2911195,13842231
2019,Jul,11275851,3084972,14360823
2019,Aug,11052004,2882079,13934083
2019,Sep,9967442,2239025,12206467
2019,Oct,10783388,2292466,13075854
2019,Nov,10206878,2057374,12264252
2019,Dec,10960472,2440847,13401319
2020,Jan,9856466,2352569,12209035
2020,Feb,9497925,2099377,11597302
2020,Mar,5358364,1184413,6542777
2020,Apr,632751,25466,658217
2020,May,1659960,45679,1705639
2020,Jun,2960275,135940,3096215
2020,Jul,4303170,330341,4633511
2020,Aug,4337403,349851,4687254
2020,Sep,4538441,356600,4895041
2020,Oct,5096586,536262,5632848
2020,Nov,4269428,736478,5005906
2020,Dec,4159000,923062,5082062
2021,Jan,3810784,825162,4635946
2021,Feb,3622927,600126,4223053
2021,Mar,6094754,1085844,7180598
2021,Apr,7255583,1304145,8559728
2021,May,8602886,1507313,10110199
2021,Jun,10186206,1729887,11916093
2021,Jul,10950575,1921078,12871653
2021,Aug,9611400,1586292,11197692
2021,Sep,8814710,1185759,10000469
2021,Oct,10101160,1432163,11533323
2021,Nov,10071653,1717268,11788921
2021,Dec,10082533,2073051,12155584
2022,Jan,7540744,1760041,9300785
2022,Feb,7826108,1691195,9517303
2022,Mar,10352490,2360804,12713294
2022,Apr,9867631,2518313,12385944
2022,May,10552264,2659191,13211455
2022,Jun,10709147,2955280,13664427
2022,Jul,10978171,3164381,14142552
2022,Aug,10584516,2867868,13452384
2022,Sep,10068232,2431817,12500049
2022,Oct,11151633,2566394,13718027
2022,Nov,10305541,2524229,12829770
2022,Dec,10575179,2806874,13382053
2023,Jan,9503838,2656679,12160517
2023,Feb,9383078,2416024,11799102
2023,Mar,11240851,2875526,14116377
2023,Apr,10865879,2730826,13596705
2023,May,11423071,2785915,14208986
2023,Jun,11782396,3094714,14877110
2023,Jul,11914993,3279161,15194154
2023,Aug,11344101,3050498,14394599
2023,Sep,10430402,2443557,12873959
2023,Oct,11536870,2596087,14132957
2023,Nov,10837806,2592896,13430702
2023,Dec,10609185,2976331,13585516
