YEAR,MONTH,DOMESTIC,INTERNATIONAL,TOTAL
2018,Jan,8569504,1905480,10474984
2018,Feb,8572978,1690663,10263641
2018,Mar,10898772,2180508,13079280
2018,Apr,10458858,2065443,12524301
2018,May,11042700,2213437,13256137
2018,Jun,11433287,2474713,13908000
2018,Jul,11918888,2622703,14541591
2018,Aug,11932518,2553639,14486157
2018,Sep,10028453,2018433,12046886
2018,Oct,11070334,1943902,13014236
2018,Nov,10544475,1643676,12188151
2018,Dec,10002045,1904834,11906879
2019,Jan,9253432,1931311,11184743
2019,Feb,8864116,1711387,10575503
2019,Mar,11737009,2202260,13939269
2019,Apr,11237133,2141259,13378392
2019,May,12030749,2326737,14357486
2019,Jun,12517894,2542704,15060598
2019,Jul,12965327,2634252,15599579
2019,Aug,12693732,2627388,15321120
2019,Sep,10963963,2137924,13101887
2019,Oct,11859504,2055052,13914556
2019,Nov,10787768,1724144,12511912
2019,Dec,11302966,2012103,13315069
2020,Jan,10249349,2059896,12309245
2020,Feb,9960370,1754317,11714687
2020,Mar,5489866,977209,6467075
2020,Apr,452074,34557,486631
2020,May,843603,28311,871914
2020,Jun,1539090,59655,1598745
2020,Jul,2417946,151924,2569870
2020,Aug,3194715,225165,3419880
2020,Sep,3316398,238639,3555037
2020,Oct,3731065,331319,4062384
2020,Nov,3524604,380350,3904954
2020,Dec,3538798,522508,4061306
2021,Jan,3485743,530159,4015902
2021,Feb,3523525,394025,3917550
2021,Mar,5082019,553703,5635722
2021,Apr,5388932,599372,5988304
2021,May,8140513,864527,9005040
2021,Jun,9344473,995027,10339500
2021,Jul,10311639,1191536,11503175
2021,Aug,9856033,1236062,11092095
2021,Sep,8793046,979025,9772071
2021,Oct,9631884,987236,10619120
2021,Nov,9622602,1010227,10632829
2021,Dec,9216981,1163101,10380082
2022,Jan,7723422,1087204,8810626
2022,Feb,8092548,1037028,9129576
2022,Mar,10747646,1434775,12182421
2022,Apr,10540307,1511480,12051787
2022,May,10775158,1662248,12437406
2022,Jun,10756541,1940018,12696559
2022,Jul,10942675,2003031,12945706
2022,Aug,10874305,1966773,12841078
2022,Sep,10316884,1771765,12088649
2022,Oct,10681737,1743403,12425140
2022,Nov,10455853,1491309,11947162
2022,Dec,10311823,1752506,12064329
2023,Jan,9700887,1786758,11487645
2023,Feb,9092258,1537087,10629345
2023,Mar,11439721,2017784,13457505
2023,Apr,11089641,2046526,13136167
2023,May,12032837,2206203,14239040
2023,Jun,12443794,2362142,14805936
2023,Jul,12940358,2458785,15399143
2023,Aug,12246366,2359959,14606325
2023,Sep,11280733,2154973,13435706
2023,Oct,12007275,2098891,14106166
2023,Nov,11227755,1811145,13038900
2023,Dec,11128906,2141672,13270578
